"symbol"	"ensembl"	"cluster"
"118"	"ADCYAP1"	"ENSG00000141433.8"	12
"119"	"SHKBP1"	"ENSG00000160410.9"	5
"120"	"GRAP"	"ENSG00000154016.9"	112
"121"	"TBX2"	"ENSG00000121068.9"	106
"122"	"UBE3A"	"ENSG00000114062.12"	21
"123"	"DNMT3A"	"ENSG00000119772.12"	119
"124"	"RPS6KC1"	"ENSG00000136643.7"	125
"125"	"ARHGAP23"	"ENSG00000225485.3"	110
"126"	"SLC39A11"	"ENSG00000133195.7"	109
"127"	"XRCC6BP1"	"ENSG00000166896.3"	17
"128"	"PLIN4"	"ENSG00000167676.3"	108
"129"	"ARL17B"	"ENSG00000228696.4"	9
"130"	"PLP2"	"ENSG00000102007.6"	116
"131"	"HAPLN3"	"ENSG00000140511.7"	5
"132"	"HEY2"	"ENSG00000135547.4"	109
"133"	"NOP16"	"ENSG00000048162.15"	19
"134"	"ASUN"	"ENSG00000064102.10"	5
"135"	"PPP1R7"	"ENSG00000115685.10"	14
"136"	"SNX13"	"ENSG00000071189.16"	118
"137"	"RP11-166D19.1"	"ENSG00000255248.2"	9
"138"	"CYP2E1"	"ENSG00000130649.5"	13
"139"	"PES1"	"ENSG00000100029.12"	4
"140"	"HSDL2"	"ENSG00000119471.10"	106
"141"	"PTCD3"	"ENSG00000132300.14"	122
"142"	"CYP2D6"	"ENSG00000100197.16"	3
"143"	"ZBTB45"	"ENSG00000119574.7"	18
"144"	"FAM169A"	"ENSG00000198780.7"	125
"145"	"SMARCAL1"	"ENSG00000138375.8"	1
"146"	"OGDHL"	"ENSG00000197444.5"	12
"147"	"THEM4"	"ENSG00000159445.8"	3
"148"	"RP11-889L3.1"	"ENSG00000218227.3"	8
"149"	"MSANTD3"	"ENSG00000066697.10"	128
"150"	"PLOD1"	"ENSG00000083444.11"	114
"151"	"INPP5D"	"ENSG00000168918.9"	116
"152"	"DNAJC27"	"ENSG00000115137.7"	21
"153"	"APOLD1"	"ENSG00000178878.7"	113
"154"	"PRKAG2-AS1"	"ENSG00000239911.1"	14
"155"	"RCN3"	"ENSG00000142552.2"	6
"156"	"ZNF667"	"ENSG00000198046.7"	12
"157"	"BCL10"	"ENSG00000142867.7"	5
"158"	"ALDOA"	"ENSG00000149925.12"	23
"159"	"RBKS"	"ENSG00000171174.9"	234
"160"	"NCEH1"	"ENSG00000144959.5"	22
"161"	"GALC"	"ENSG00000054983.12"	107
"162"	"RP11-703G6.1"	"ENSG00000249614.1"	9
"163"	"ZNF451"	"ENSG00000112200.11"	106
"164"	"AL033532.1"	"ENSG00000235471.1"	4
"165"	"RNF24"	"ENSG00000101236.11"	4
"166"	"DROSHA"	"ENSG00000113360.12"	14
"167"	"TXNDC11"	"ENSG00000153066.8"	4
"168"	"LSR"	"ENSG00000105699.9"	112
"169"	"FAM69B"	"ENSG00000165716.5"	12
